filepath,label
augmented_dataset\dew\2208_aug.jpg,dew
augmented_dataset\dew\2209_aug.jpg,dew
augmented_dataset\dew\2210_aug.jpg,dew
augmented_dataset\dew\2211_aug.jpg,dew
augmented_dataset\dew\2212_aug.jpg,dew
augmented_dataset\dew\2213_aug.jpg,dew
augmented_dataset\dew\2214_aug.jpg,dew
augmented_dataset\dew\2215_aug.jpg,dew
augmented_dataset\dew\2216_aug.jpg,dew
augmented_dataset\dew\2217_aug.jpg,dew
augmented_dataset\dew\2218_aug.jpg,dew
augmented_dataset\dew\2219_aug.jpg,dew
augmented_dataset\dew\2220_aug.jpg,dew
augmented_dataset\dew\2221_aug.jpg,dew
augmented_dataset\dew\2222_aug.jpg,dew
augmented_dataset\dew\2223_aug.jpg,dew
augmented_dataset\dew\2224_aug.jpg,dew
augmented_dataset\dew\2225_aug.jpg,dew
augmented_dataset\dew\2226_aug.jpg,dew
augmented_dataset\dew\2227_aug.jpg,dew
augmented_dataset\dew\2228_aug.jpg,dew
augmented_dataset\dew\2229_aug.jpg,dew
augmented_dataset\dew\2230_aug.jpg,dew
augmented_dataset\dew\2231_aug.jpg,dew
augmented_dataset\dew\2232_aug.jpg,dew
augmented_dataset\dew\2233_aug.jpg,dew
augmented_dataset\dew\2234_aug.jpg,dew
augmented_dataset\dew\2235_aug.jpg,dew
augmented_dataset\dew\2236_aug.jpg,dew
augmented_dataset\dew\2237_aug.jpg,dew
augmented_dataset\dew\2238_aug.jpg,dew
augmented_dataset\dew\2239_aug.jpg,dew
augmented_dataset\dew\2240_aug.jpg,dew
augmented_dataset\dew\2241_aug.jpg,dew
augmented_dataset\dew\2242_aug.jpg,dew
augmented_dataset\dew\2243_aug.jpg,dew
augmented_dataset\dew\2244_aug.jpg,dew
augmented_dataset\dew\2245_aug.jpg,dew
augmented_dataset\dew\2246_aug.jpg,dew
augmented_dataset\dew\2247_aug.jpg,dew
augmented_dataset\dew\2248_aug.jpg,dew
augmented_dataset\dew\2249_aug.jpg,dew
augmented_dataset\dew\2250_aug.jpg,dew
augmented_dataset\dew\2251_aug.jpg,dew
augmented_dataset\dew\2252_aug.jpg,dew
augmented_dataset\dew\2253_aug.jpg,dew
augmented_dataset\dew\2254_aug.jpg,dew
augmented_dataset\dew\2255_aug.jpg,dew
augmented_dataset\dew\2256_aug.jpg,dew
augmented_dataset\dew\2257_aug.jpg,dew
augmented_dataset\dew\2258_aug.jpg,dew
augmented_dataset\dew\2259_aug.jpg,dew
augmented_dataset\dew\2260_aug.jpg,dew
augmented_dataset\dew\2261_aug.jpg,dew
augmented_dataset\dew\2262_aug.jpg,dew
augmented_dataset\dew\2263_aug.jpg,dew
augmented_dataset\dew\2264_aug.jpg,dew
augmented_dataset\dew\2265_aug.jpg,dew
augmented_dataset\dew\2266_aug.jpg,dew
augmented_dataset\dew\2267_aug.jpg,dew
augmented_dataset\dew\2268_aug.jpg,dew
augmented_dataset\dew\2269_aug.jpg,dew
augmented_dataset\dew\2270_aug.jpg,dew
augmented_dataset\dew\2271_aug.jpg,dew
augmented_dataset\dew\2272_aug.jpg,dew
augmented_dataset\dew\2273_aug.jpg,dew
augmented_dataset\dew\2274_aug.jpg,dew
augmented_dataset\dew\2275_aug.jpg,dew
augmented_dataset\dew\2276_aug.jpg,dew
augmented_dataset\dew\2277_aug.jpg,dew
augmented_dataset\dew\2278_aug.jpg,dew
augmented_dataset\dew\2279_aug.jpg,dew
augmented_dataset\dew\2280_aug.jpg,dew
augmented_dataset\dew\2281_aug.jpg,dew
augmented_dataset\dew\2282_aug.jpg,dew
augmented_dataset\dew\2283_aug.jpg,dew
augmented_dataset\dew\2284_aug.jpg,dew
augmented_dataset\dew\2285_aug.jpg,dew
augmented_dataset\dew\2286_aug.jpg,dew
augmented_dataset\dew\2287_aug.jpg,dew
augmented_dataset\dew\2288_aug.jpg,dew
augmented_dataset\dew\2289_aug.jpg,dew
augmented_dataset\dew\2290_aug.jpg,dew
augmented_dataset\dew\2291_aug.jpg,dew
augmented_dataset\dew\2292_aug.jpg,dew
augmented_dataset\dew\2293_aug.jpg,dew
augmented_dataset\dew\2294_aug.jpg,dew
augmented_dataset\dew\2295_aug.jpg,dew
augmented_dataset\dew\2296_aug.jpg,dew
augmented_dataset\dew\2297_aug.jpg,dew
augmented_dataset\dew\2298_aug.jpg,dew
augmented_dataset\dew\2299_aug.jpg,dew
augmented_dataset\dew\2300_aug.jpg,dew
augmented_dataset\dew\2301_aug.jpg,dew
augmented_dataset\dew\2302_aug.jpg,dew
augmented_dataset\dew\2303_aug.jpg,dew
augmented_dataset\dew\2304_aug.jpg,dew
augmented_dataset\dew\2305_aug.jpg,dew
augmented_dataset\dew\2306_aug.jpg,dew
augmented_dataset\dew\2307_aug.jpg,dew
augmented_dataset\dew\2308_aug.jpg,dew
augmented_dataset\dew\2309_aug.jpg,dew
augmented_dataset\dew\2310_aug.jpg,dew
augmented_dataset\dew\2311_aug.jpg,dew
augmented_dataset\dew\2312_aug.jpg,dew
augmented_dataset\dew\2313_aug.jpg,dew
augmented_dataset\dew\2314_aug.jpg,dew
augmented_dataset\dew\2315_aug.jpg,dew
augmented_dataset\dew\2316_aug.jpg,dew
augmented_dataset\dew\2317_aug.jpg,dew
augmented_dataset\dew\2318_aug.jpg,dew
augmented_dataset\dew\2319_aug.jpg,dew
augmented_dataset\dew\2320_aug.jpg,dew
augmented_dataset\dew\2321_aug.jpg,dew
augmented_dataset\dew\2322_aug.jpg,dew
augmented_dataset\dew\2323_aug.jpg,dew
augmented_dataset\dew\2324_aug.jpg,dew
augmented_dataset\dew\2325_aug.jpg,dew
augmented_dataset\dew\2326_aug.jpg,dew
augmented_dataset\dew\2327_aug.jpg,dew
augmented_dataset\dew\2328_aug.jpg,dew
augmented_dataset\dew\2329_aug.jpg,dew
augmented_dataset\dew\2330_aug.jpg,dew
augmented_dataset\dew\2331_aug.jpg,dew
augmented_dataset\dew\2332_aug.jpg,dew
augmented_dataset\dew\2333_aug.jpg,dew
augmented_dataset\dew\2334_aug.jpg,dew
augmented_dataset\dew\2335_aug.jpg,dew
augmented_dataset\dew\2336_aug.jpg,dew
augmented_dataset\dew\2337_aug.jpg,dew
augmented_dataset\dew\2338_aug.jpg,dew
augmented_dataset\dew\2339_aug.jpg,dew
augmented_dataset\dew\2340_aug.jpg,dew
augmented_dataset\dew\2341_aug.jpg,dew
augmented_dataset\dew\2342_aug.jpg,dew
