filepath,label
dataset\rime\5637.jpg,rime
dataset\rime\6081.jpg,rime
dataset\rime\5415.jpg,rime
dataset\rime\4979.jpg,rime
dataset\rime\5842.jpg,rime
dataset\rime\5701.jpg,rime
dataset\rime\5363.jpg,rime
dataset\rime\5100.jpg,rime
dataset\rime\5104.jpg,rime
dataset\rime\5263.jpg,rime
dataset\rime\5375.jpg,rime
dataset\rime\5728.jpg,rime
dataset\rime\5205.jpg,rime
dataset\rime\5794.jpg,rime
dataset\rime\5037.jpg,rime
dataset\rime\5847.jpg,rime
dataset\rime\5511.jpg,rime
dataset\rime\5306.jpg,rime
dataset\rime\6024.jpg,rime
dataset\rime\5603.jpg,rime
dataset\rime\5508.jpg,rime
dataset\rime\5991.jpg,rime
dataset\rime\5086.jpg,rime
dataset\rime\5266.jpg,rime
dataset\rime\5058.jpg,rime
dataset\rime\5642.jpg,rime
dataset\rime\5814.jpg,rime
dataset\rime\5122.jpg,rime
dataset\rime\5043.jpg,rime
dataset\rime\5971.jpg,rime
dataset\rime\5574.jpg,rime
dataset\rime\5772.jpg,rime
dataset\rime\5469.jpg,rime
dataset\rime\5016.jpg,rime
dataset\rime\5039.jpg,rime
dataset\rime\5229.jpg,rime
dataset\rime\5172.jpg,rime
dataset\rime\6027.jpg,rime
dataset\rime\5481.jpg,rime
dataset\rime\5465.jpg,rime
dataset\rime\5128.jpg,rime
dataset\rime\5792.jpg,rime
dataset\rime\5457.jpg,rime
dataset\rime\6083.jpg,rime
dataset\rime\5190.jpg,rime
dataset\rime\5324.jpg,rime
dataset\rime\5605.jpg,rime
dataset\rime\5000.jpg,rime
dataset\rime\5831.jpg,rime
dataset\rime\5844.jpg,rime
dataset\rime\5310.jpg,rime
dataset\rime\5248.jpg,rime
dataset\rime\5204.jpg,rime
dataset\rime\5261.jpg,rime
dataset\rime\5459.jpg,rime
dataset\rime\5868.jpg,rime
dataset\rime\5518.jpg,rime
dataset\rime\5558.jpg,rime
dataset\rime\5922.jpg,rime
dataset\rime\5222.jpg,rime
dataset\rime\4981.jpg,rime
dataset\rime\4953.jpg,rime
dataset\rime\4974.jpg,rime
dataset\rime\5358.jpg,rime
dataset\rime\5483.jpg,rime
dataset\rime\6051.jpg,rime
dataset\rime\5515.jpg,rime
dataset\rime\5767.jpg,rime
dataset\rime\5710.jpg,rime
dataset\rime\5320.jpg,rime
dataset\rime\6067.jpg,rime
dataset\rime\6001.jpg,rime
dataset\rime\5291.jpg,rime
dataset\rime\5607.jpg,rime
dataset\rime\5456.jpg,rime
dataset\rime\4986.jpg,rime
dataset\rime\5293.jpg,rime
dataset\rime\5397.jpg,rime
dataset\rime\5889.jpg,rime
dataset\rime\5775.jpg,rime
dataset\rime\5161.jpg,rime
dataset\rime\5500.jpg,rime
dataset\rime\5031.jpg,rime
dataset\rime\5985.jpg,rime
dataset\rime\5740.jpg,rime
dataset\rime\5657.jpg,rime
dataset\rime\5879.jpg,rime
dataset\rime\6080.jpg,rime
dataset\rime\5281.jpg,rime
dataset\rime\5139.jpg,rime
dataset\rime\5795.jpg,rime
dataset\rime\5297.jpg,rime
dataset\rime\5226.jpg,rime
dataset\rime\5752.jpg,rime
dataset\rime\5357.jpg,rime
dataset\rime\5416.jpg,rime
dataset\rime\5138.jpg,rime
dataset\rime\5961.jpg,rime
dataset\rime\6077.jpg,rime
dataset\rime\6068.jpg,rime
dataset\rime\5488.jpg,rime
dataset\rime\5257.jpg,rime
dataset\rime\5088.jpg,rime
dataset\rime\5353.jpg,rime
dataset\rime\5026.jpg,rime
dataset\rime\5811.jpg,rime
dataset\rime\5258.jpg,rime
dataset\rime\4961.jpg,rime
dataset\rime\5514.jpg,rime
dataset\rime\5717.jpg,rime
dataset\rime\5466.jpg,rime
dataset\rime\5715.jpg,rime
dataset\rime\5591.jpg,rime
dataset\rime\5733.jpg,rime
dataset\rime\6015.jpg,rime
dataset\rime\5796.jpg,rime
dataset\rime\5360.jpg,rime
dataset\rime\5018.jpg,rime
dataset\rime\5224.jpg,rime
dataset\rime\5869.jpg,rime
dataset\rime\6008.jpg,rime
dataset\rime\5328.jpg,rime
dataset\rime\5896.jpg,rime
dataset\rime\5177.jpg,rime
dataset\rime\5482.jpg,rime
dataset\rime\5718.jpg,rime
dataset\rime\5960.jpg,rime
dataset\rime\5070.jpg,rime
dataset\rime\6036.jpg,rime
dataset\rime\5866.jpg,rime
dataset\rime\5580.jpg,rime
dataset\rime\6033.jpg,rime
dataset\rime\4940.jpg,rime
dataset\rime\5620.jpg,rime
dataset\rime\5262.jpg,rime
dataset\rime\5523.jpg,rime
dataset\rime\4989.jpg,rime
dataset\rime\5720.jpg,rime
dataset\rime\5455.jpg,rime
dataset\rime\5200.jpg,rime
dataset\rime\5779.jpg,rime
dataset\rime\5852.jpg,rime
dataset\rime\5392.jpg,rime
dataset\rime\5660.jpg,rime
dataset\rime\5461.jpg,rime
dataset\rime\5624.jpg,rime
dataset\rime\5129.jpg,rime
dataset\rime\5695.jpg,rime
dataset\rime\6089.jpg,rime
dataset\rime\5148.jpg,rime
dataset\rime\5285.jpg,rime
dataset\rime\5778.jpg,rime
dataset\rime\5140.jpg,rime
dataset\rime\5675.jpg,rime
dataset\rime\5512.jpg,rime
dataset\rime\5934.jpg,rime
dataset\rime\5528.jpg,rime
dataset\rime\5174.jpg,rime
dataset\rime\5372.jpg,rime
dataset\rime\5559.jpg,rime
dataset\rime\5013.jpg,rime
dataset\rime\5424.jpg,rime
dataset\rime\5195.jpg,rime
dataset\rime\5908.jpg,rime
dataset\rime\5288.jpg,rime
dataset\rime\5272.jpg,rime
dataset\rime\5491.jpg,rime
dataset\rime\5712.jpg,rime
dataset\rime\5670.jpg,rime
dataset\rime\5737.jpg,rime
dataset\rime\5899.jpg,rime
dataset\rime\5006.jpg,rime
dataset\rime\6042.jpg,rime
dataset\rime\5068.jpg,rime
dataset\rime\5667.jpg,rime
dataset\rime\5556.jpg,rime
dataset\rime\5782.jpg,rime
dataset\rime\5170.jpg,rime
dataset\rime\5071.jpg,rime
dataset\rime\5423.jpg,rime
dataset\rime\5251.jpg,rime
dataset\rime\5239.jpg,rime
dataset\rime\5069.jpg,rime
dataset\rime\5822.jpg,rime
